Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,61.410000,62.209999,61.200001,62.080002,60.233337,15399400
2022-11-22,62.470001,62.500000,62.049999,62.349998,60.495304,12319600
2022-11-23,62.490002,62.790001,62.299999,62.630001,60.766979,8990400
2022-11-25,62.730000,62.810001,62.380001,62.689999,60.825191,5165500
2022-11-28,62.689999,63.099998,62.560001,62.700001,60.834892,12267500
2022-11-29,62.520000,62.570000,61.980000,62.480000,60.621437,10969600
2022-11-30,62.009998,63.680000,61.750000,63.610001,62.155540,30433900
2022-12-01,63.610001,64.110001,63.430000,63.790001,62.331421,12001400
2022-12-02,63.610001,64.519997,63.400002,64.349998,62.878620,13643500
2022-12-05,63.410000,63.799999,63.259998,63.470001,62.018745,9185100
2022-12-06,63.520000,63.880001,63.230000,63.439999,61.989422,10099500
2022-12-07,63.450001,63.720001,63.250000,63.540001,62.087139,12307600
2022-12-08,63.599998,63.849998,63.349998,63.810001,62.350964,9946200
2022-12-09,63.610001,63.840000,63.090000,63.139999,61.696285,13914900
2022-12-12,63.299999,64.010002,63.009998,63.970001,62.507309,11647900
2022-12-13,64.589996,64.699997,63.799999,63.990002,62.526852,17521600
2022-12-14,64.190002,64.650002,63.570000,63.990002,62.526852,12826700
2022-12-15,63.590000,63.889999,62.490002,63.110001,61.666973,12212300
2022-12-16,62.750000,63.139999,62.330002,62.750000,61.315201,33631500
2022-12-19,62.830002,63.410000,62.470001,62.840000,61.403149,10919700
2022-12-20,62.820000,63.150002,62.750000,62.790001,61.354290,10286500
2022-12-21,63.070000,64.050003,63.070000,63.799999,62.341194,10411300
2022-12-22,63.419998,63.590000,62.650002,63.340000,61.891712,9666700
2022-12-23,63.500000,63.869999,63.200001,63.820000,62.360737,6463300
2022-12-27,63.930000,64.290001,63.709999,64.209999,62.741817,7320700
2022-12-28,64.459999,64.650002,63.490002,63.570000,62.116455,7159400
2022-12-29,63.799999,64.150002,63.700001,63.950001,62.487766,7169300
2022-12-30,63.919998,63.919998,63.169998,63.610001,62.155540,7650200
2023-01-03,63.560001,63.560001,62.180000,62.950001,61.510628,12180500
2023-01-04,63.150002,63.330002,62.509998,62.919998,61.481316,13387900
2023-01-05,62.599998,62.799999,62.080002,62.200001,60.777779,9814700
2023-01-06,62.910000,63.669998,62.580002,63.400002,61.950340,9990000
2023-01-09,63.299999,63.720001,62.580002,62.610001,61.178406,9442600
2023-01-10,62.599998,62.730000,61.919998,62.130001,60.709381,10134600
2023-01-11,62.380001,62.560001,61.410000,62.009998,60.592121,10823000
2023-01-12,62.110001,62.180000,60.970001,61.209999,59.810413,13907300
2023-01-13,60.700001,61.459999,60.590000,61.430000,60.025383,13986400
2023-01-17,61.730000,62.380001,61.560001,61.680000,60.269669,18327800
2023-01-18,61.509998,61.590000,59.680000,59.810001,58.442429,19679400
2023-01-19,59.730000,60.639999,59.709999,59.720001,58.354485,14894500
2023-01-20,59.720001,60.090000,59.400002,60.080002,58.706253,14237700
2023-01-23,60.279999,60.570000,60.049999,60.230000,58.852821,12613400
